Date,Source_x,Site ID_x,POC_x,Daily Mean PM2.5 Concentration,UNITS_x,DAILY_AQI_VALUE_x,Site Name_x,DAILY_OBS_COUNT_x,PERCENT_COMPLETE_x,AQS_PARAMETER_CODE_x,AQS_PARAMETER_DESC_x,CBSA_CODE_x,CBSA_NAME_x,STATE_CODE_x,STATE_x,COUNTY_CODE_x,COUNTY_x,SITE_LATITUDE_x,SITE_LONGITUDE_x,Source_y,Site ID_y,POC_y,Daily Max 8-hour Ozone Concentration,UNITS_y,DAILY_AQI_VALUE_y,Site Name_y,DAILY_OBS_COUNT_y,PERCENT_COMPLETE_y,AQS_PARAMETER_CODE_y,AQS_PARAMETER_DESC_y,CBSA_CODE_y,CBSA_NAME_y,STATE_CODE_y,STATE_y,COUNTY_CODE_y,COUNTY_y,SITE_LATITUDE_y,SITE_LONGITUDE_y
9/23/2020,AirNow,270530962,3,12.8,ug/m3 LC,52,Near Road I-35/I-94,1,100,88101,PM2.5 - Local Conditions,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965241999999996,-93.25475899999999,AirNow,270530962.0,1.0,0.044000000000000004,ppm,41.0,Near Road I-35/I-94,24.0,100.0,44201.0,Ozone,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",27.0,Minnesota,53.0,Hennepin,44.965241999999996,-93.25475899999999
9/24/2020,AirNow,270530962,3,6.4,ug/m3 LC,27,Near Road I-35/I-94,1,100,88101,PM2.5 - Local Conditions,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965241999999996,-93.25475899999999,AirNow,270530962.0,1.0,0.033,ppm,31.0,Near Road I-35/I-94,24.0,100.0,44201.0,Ozone,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",27.0,Minnesota,53.0,Hennepin,44.965241999999996,-93.25475899999999
9/25/2020,AirNow,270530962,3,9.8,ug/m3 LC,41,Near Road I-35/I-94,1,100,88101,PM2.5 - Local Conditions,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965241999999996,-93.25475899999999,AirNow,270530962.0,1.0,0.034,ppm,31.0,Near Road I-35/I-94,24.0,100.0,44201.0,Ozone,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",27.0,Minnesota,53.0,Hennepin,44.965241999999996,-93.25475899999999
9/26/2020,AirNow,270530962,3,13.0,ug/m3 LC,53,Near Road I-35/I-94,1,100,88101,PM2.5 - Local Conditions,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965241999999996,-93.25475899999999,AirNow,270530962.0,1.0,0.016,ppm,15.0,Near Road I-35/I-94,24.0,100.0,44201.0,Ozone,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",27.0,Minnesota,53.0,Hennepin,44.965241999999996,-93.25475899999999
9/27/2020,AirNow,270530962,3,4.0,ug/m3 LC,17,Near Road I-35/I-94,1,100,88101,PM2.5 - Local Conditions,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965241999999996,-93.25475899999999,AirNow,270530962.0,1.0,0.023,ppm,21.0,Near Road I-35/I-94,24.0,100.0,44201.0,Ozone,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",27.0,Minnesota,53.0,Hennepin,44.965241999999996,-93.25475899999999
9/28/2020,AirNow,270530962,3,1.0,ug/m3 LC,4,Near Road I-35/I-94,1,100,88101,PM2.5 - Local Conditions,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965241999999996,-93.25475899999999,AirNow,270530962.0,1.0,0.01,ppm,9.0,Near Road I-35/I-94,24.0,100.0,44201.0,Ozone,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",27.0,Minnesota,53.0,Hennepin,44.965241999999996,-93.25475899999999
9/29/2020,AirNow,270530962,3,2.7,ug/m3 LC,11,Near Road I-35/I-94,1,100,88101,PM2.5 - Local Conditions,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965241999999996,-93.25475899999999,AirNow,270530962.0,1.0,0.017,ppm,16.0,Near Road I-35/I-94,24.0,100.0,44201.0,Ozone,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",27.0,Minnesota,53.0,Hennepin,44.965241999999996,-93.25475899999999
9/30/2020,AirNow,270530962,3,3.0,ug/m3 LC,13,Near Road I-35/I-94,1,100,88101,PM2.5 - Local Conditions,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965241999999996,-93.25475899999999,AirNow,270530962.0,1.0,0.02,ppm,19.0,Near Road I-35/I-94,24.0,100.0,44201.0,Ozone,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",27.0,Minnesota,53.0,Hennepin,44.965241999999996,-93.25475899999999
10/1/2020,AirNow,270530962,3,1.8,ug/m3 LC,8,Near Road I-35/I-94,1,100,88101,PM2.5 - Local Conditions,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965241999999996,-93.25475899999999,AirNow,270530962.0,1.0,0.016,ppm,15.0,Near Road I-35/I-94,24.0,100.0,44201.0,Ozone,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",27.0,Minnesota,53.0,Hennepin,44.965241999999996,-93.25475899999999
10/2/2020,AirNow,270530962,3,4.9,ug/m3 LC,20,Near Road I-35/I-94,1,100,88101,PM2.5 - Local Conditions,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965241999999996,-93.25475899999999,AirNow,270530962.0,1.0,0.018000000000000002,ppm,17.0,Near Road I-35/I-94,24.0,100.0,44201.0,Ozone,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",27.0,Minnesota,53.0,Hennepin,44.965241999999996,-93.25475899999999
